URL,File,Has Description,Current Description,Length,Status
/,src\pages\Index.tsx,Yes,"Professional cleaning services across South Florida, Las Vegas, Hawaii, Columbus Ohio, and Dallas. Residential, commercial, and vacation rental cleaning.",153,OK
/about,src\pages\about\+Page.tsx,Yes,"Learn about Red Rock Cleaning's commitment to providing exceptional cleaning services across multiple locations.",112,Needs Optimization
/about-us,src\pages\AboutUs.tsx,Yes,"Learn about Red Rock Cleaning's commitment to excellence in residential and commercial cleaning services across multiple locations.",131,OK
/airbnb-cleaning,src\pages\AirbnbCleaning.tsx,Yes,"Professional Airbnb and vacation rental cleaning services. Fast turnovers, consistent quality, and guest-ready results every time.",130,OK
/blog,src\pages\Blog.tsx,Yes,"Expert cleaning tips, advice, and guides from Red Rock Cleaning professionals. Learn how to maintain a cleaner, healthier home.",127,OK
/blog/cleaning-tips/6-handy-tips-to-help-you-minimize-your-time-on-housework,src\pages\blog\cleaning-tips\6-handy-tips-to-help-you-minimize-your-time-on-housework\+Page.tsx,Yes,"Tired of endless chores? Discover 6 handy tips to help you minimize your time on housework and reclaim your free time.",118,Needs Optimization
/blog/cleaning-tips/airbnb-bedding-management-you-should-know,src\pages\blog\cleaning-tips\airbnb-bedding-management-you-should-know\+Page.tsx,Yes,"Master Airbnb bedding management with expert tips on selecting, maintaining, and rotating linens for 5-star guest reviews and efficient turnover operations.",156,OK
/blog/cleaning-tips/carpet-cleaning-to-remove-flea-infestation,src\pages\blog\cleaning-tips\carpet-cleaning-to-remove-flea-infestation\+Page.tsx,Yes,"Dealing with a flea infestation? Our step-by-step guide shows you how professional carpet cleaning can help eradicate fleas from your home for good.",148,OK
/blog/cleaning-tips/grill-maintenance-101-the-ultimate-guide-to-cleaning-your-outdoor-grill,src\pages\blog\cleaning-tips\grill-maintenance-101-the-ultimate-guide-to-cleaning-your-outdoor-grill\+Page.tsx,Yes,"Master grill maintenance with our ultimate guide. Learn how to clean your outdoor grill for better taste, longer life, and a healthier cooking experience.",154,OK
/blog/cleaning-tips/health-code-violations,src\pages\blog\cleaning-tips\health-code-violations\+Page.tsx,Yes,"Learn how to avoid and address health code violations in your business. Discover the role of professional commercial cleaning in maintaining compliance.",152,OK
/blog/cleaning-tips/natures-air-purifiers-the-best-plants-for-cleaner-indoor-air,src\pages\blog\cleaning-tips\natures-air-purifiers-the-best-plants-for-cleaner-indoor-air\+Page.tsx,Yes,"Discover the best houseplants for naturally purifying your indoor air. Our guide covers top plants, care tips, and how cleaning complements their benefits.",155,OK
/blog/cleaning-tips/step-by-step-guide-effective-techniques-for-removing-ink-stains-from-carpets,src\pages\blog\cleaning-tips\step-by-step-guide-effective-techniques-for-removing-ink-stains-from-carpets\+Page.tsx,Yes,"Don't panic over ink stains! Follow our step-by-step guide to effectively remove ink from carpets and learn when to call the professionals for stubborn spots.",158,OK
/blog/cleaning-tips/the-science-of-spring-cleaning,src\pages\blog\cleaning-tips\the-science-of-spring-cleaning\+Page.tsx,Yes,"Discover the science of spring cleaning! Learn how decluttering and a deep clean can improve your mood, health, and focus. Get our ultimate checklist.",150,OK
/blog/cleaning-tips/why-you-should-host-a-spring-cleaning-party,src\pages\blog\cleaning-tips\why-you-should-host-a-spring-cleaning-party\+Page.tsx,Yes,"Turn spring cleaning into a fun event! Learn why you should host a spring cleaning party and how to plan one, plus when to call in the pros for tough jobs.",155,OK
/blog/cleaning-tips/your-essential-guide-to-the-ultimate-move-out-cleaning-checklist,src\pages\blog\cleaning-tips\your-essential-guide-to-the-ultimate-move-out-cleaning-checklist\+Page.tsx,Yes,"Our ultimate move-out cleaning checklist ensures you get your security deposit back. Follow our room-by-room guide for a perfect clean, or hire our pros to do it for you.",170,Needs Optimization
/book-now-columbus-ohio,src\pages\locations\ColumbusBooking.tsx,Yes,"Book your professional cleaning service in Columbus Ohio. Easy online booking for house and office cleaning.",108,Needs Optimization
/book-now-dallas,src\pages\locations\DallasBooking.tsx,Yes,"Book your professional cleaning service in Dallas. Easy online booking for residential and commercial cleaning.",111,Needs Optimization
/book-now-las-vegas,src\pages\locations\LasVegasBooking.tsx,Yes,"Book your professional cleaning service in Las Vegas. Easy online booking for residential and commercial cleaning.",114,Needs Optimization
/book-now-maui,src\pages\locations\MauiBooking.tsx,Yes,"Book your professional cleaning service in Maui. Easy online booking for vacation rental and deep cleaning services.",116,Needs Optimization
/book-now-oahu,src\pages\locations\OahuBooking.tsx,Yes,"Book your professional cleaning service in Oahu and Honolulu. Easy online booking for residential and vacation rental cleaning.",127,OK
/book-now-south-florida,src\pages\locations\SouthFloridaBooking.tsx,Yes,"Book your professional cleaning service in South Florida. Easy online booking for residential and vacation rental cleaning.",123,OK
/church-cleaning,src\pages\church-cleaning\+Page.tsx,Yes,"Professional church cleaning services by Red Rock Cleans. We provide respectful, detailed cleaning for sanctuaries, fellowship halls, and all places of worship. Learn more.",172,Needs Optimization
/cleaning-supplies,src\pages\CleaningSupplies.tsx,Yes,"Complete list of cleaning supplies and equipment needed to work as a Red Rock Cleans contractor. Tools, equipment, and cleaning products checklist.",147,OK
/columbus-ohio,src\pages\locations\ColumbusHome.tsx,Yes,"Professional house and office cleaning in Columbus Ohio. Reliable service with easy online booking. Experience quality you can trust.",133,OK
/columbus-ohio-calculator,src\pages\locations\ColumbusCalculator.tsx,Yes,"Calculate your cleaning service cost instantly. Get an accurate quote for house and office cleaning in Columbus Ohio.",117,Needs Optimization
/columbus-ohio/airbnb-cleaning-services,src\pages\columbus-ohio\airbnb-cleaning-services\+Page.tsx,Yes,"Get 5-star reviews with our reliable Airbnb cleaning service in Columbus, OH. Red Rock Cleans offers automated turnover cleaning for vacation rentals in Dublin, the Short North, and beyond.",189,Needs Optimization
/columbus-ohio/church-cleaning,src\pages\columbus-ohio\church-cleaning\+Page.tsx,Yes,"Professional church cleaning services in Columbus, OH. Red Rock Cleans provides respectful, detailed cleaning for places of worship in Dublin, Upper Arlington, and across the area.",180,Needs Optimization
/columbus-ohio/data-center-cleaning,src\pages\columbus-ohio\data-center-cleaning\+Page.tsx,Yes,"Specialized data center cleaning in Columbus, OH. Red Rock Cleans offers ISO 14644-1 compliant server room, sub-floor, and critical environment cleaning in Dublin and New Albany to ensure uptime.",195,Needs Optimization
/columbus-ohio/deep-cleaning-services,src\pages\columbus-ohio\deep-cleaning-services\+Page.tsx,Yes,"Restore your home's sparkle with our thorough deep cleaning service in Columbus, OH. We tackle built-up grime for a truly refreshed home in Dublin, Upper Arlington, and beyond.",176,Needs Optimization
/columbus-ohio/factory-cleaning,src\pages\columbus-ohio\factory-cleaning\+Page.tsx,Yes,"Professional factory cleaning in Columbus, OH. Red Rock Cleans offers heavy-duty cleaning for manufacturing plants in Dublin, Westerville, and beyond to ensure safety and productivity.",184,Needs Optimization
/columbus-ohio/government-facility-cleaning,src\pages\columbus-ohio\government-facility-cleaning\+Page.tsx,Yes,"Secure and compliant government facility cleaning in Columbus, OH. Red Rock Cleans provides discreet, professional cleaning for municipal and federal buildings by security-cleared staff.",186,Needs Optimization
/columbus-ohio/gym-cleaning,src\pages\columbus-ohio\gym-cleaning\+Page.tsx,Yes,"Professional gym cleaning in Columbus, OH. Red Rock Cleans provides hygienic fitness center sanitation, including equipment disinfection, in Dublin, Upper Arlington, and beyond.",177,Needs Optimization
/columbus-ohio/industrial-cleaning,src\pages\columbus-ohio\industrial-cleaning\+Page.tsx,Yes,"Heavy-duty industrial cleaning services in Columbus, OH. Red Rock Cleans provides OSHA compliant cleaning for manufacturing plants and facilities in Dublin, Westerville, and beyond.",181,Needs Optimization
/columbus-ohio/medical-office-cleaning,src\pages\columbus-ohio\medical-office-cleaning\+Page.tsx,Yes,"Specialized medical office cleaning in Columbus, OH. Red Rock Cleans provides HIPAA and OSHA compliant cleaning for clinics and healthcare facilities in Dublin, Upper Arlington, and beyond.",189,Needs Optimization
/columbus-ohio/move-out-cleaning-services,src\pages\columbus-ohio\move-out-cleaning-services\+Page.tsx,Yes,"Secure your deposit with our reliable move out cleaning service in Columbus, OH. We provide thorough end-of-tenancy cleaning in Dublin, Upper Arlington, and beyond. Book today!",176,Needs Optimization
/columbus-ohio/post-construction-cleaning-services,src\pages\columbus-ohio\post-construction-cleaning-services\+Page.tsx,Yes,"Professional post construction cleaning in Columbus, OH. Red Rock Cleans handles construction cleanup for new builds and renovations in Dublin, Upper Arlington, and beyond. Get a detailed quote!",194,Needs Optimization
/columbus-ohio/restaurant-cleaning,src\pages\columbus-ohio\restaurant-cleaning\+Page.tsx,Yes,"Professional restaurant cleaning in Columbus, OH. Red Rock Cleans helps you pass health inspections and earn 5-star reviews with comprehensive kitchen and dining room cleaning.",176,Needs Optimization
/columbus-ohio/retail-cleaning,src\pages\columbus-ohio\retail-cleaning\+Page.tsx,Yes,"Professional retail store cleaning in Columbus, OH. Red Rock Cleans helps enhance your brand image with spotless storefronts and sales floors in Dublin, the Short North, and beyond.",181,Needs Optimization
/columbus-ohio/salon-spa-cleaning,src\pages\columbus-ohio\salon-spa-cleaning\+Page.tsx,Yes,"Professional salon and spa cleaning in Columbus, OH. Red Rock Cleans ensures a pristine, hygienic, and relaxing environment for hair salons, day spas, and medispas in Dublin and the Short North.",194,Needs Optimization
/columbus-ohio/school-cleaning,src\pages\columbus-ohio\school-cleaning\+Page.tsx,Yes,"Professional school cleaning services in Columbus, OH. Red Rock Cleans provides a safe and healthy learning environment for students in Dublin, Upper Arlington, and beyond.",172,Needs Optimization
/columbus-ohio/showroom-cleaning,src\pages\columbus-ohio\showroom-cleaning\+Page.tsx,Yes,"Professional showroom cleaning in Columbus, OH. Red Rock Cleans enhances your product presentation with meticulous cleaning for car dealerships and luxury retail in Dublin and New Albany.",187,Needs Optimization
/columbus-ohio/standard-cleaning-services,src\pages\columbus-ohio\standard-cleaning-services\+Page.tsx,Yes,"Keep your Columbus home consistently beautiful with our reliable standard cleaning service. We offer flexible maid services in Dublin, Upper Arlington, and beyond. Get your free quote!",184,Needs Optimization
/columbus-ohio/warehouse-cleaning,src\pages\columbus-ohio\warehouse-cleaning\+Page.tsx,Yes,"Professional warehouse cleaning in Columbus, OH. Red Rock Cleans improves safety and efficiency with comprehensive floor scrubbing, high-bay dusting, and more for logistics centers.",181,Needs Optimization
/commercial-cleaning,src\pages\CommercialCleaning.tsx,Yes,"Professional commercial cleaning services for offices, retail spaces, and businesses. Maintain a pristine workplace environment.",128,OK
/commercial-cleaning-cost-estimator,src\pages\commercial-cleaning-cost-estimator\index.page.tsx,Yes,"Get a free ballpark estimate for your commercial cleaning needs. Budget confidently using industry averages, then refine with your location.",140,OK
/commercial-cleaning-cost-estimator/index.page.server,src\pages\commercial-cleaning-cost-estimator\index.page.server.tsx,No,,0,Needs Optimization
/commercial-cleaning-estimator,src\pages\CommercialCleaningEstimator.tsx,Yes,"Calculate your commercial cleaning costs instantly. Get accurate pricing for office, retail, and business cleaning services across all our locations.",149,OK
/commercial-cleaning-time-estimator,src\pages\commercial-cleaning-time-estimator\index.page.tsx,Yes,"Use our free tool to estimate how long professional commercial cleaning will take based on ISSA standards. Get an instant time estimate to plan your budget.",156,OK
/commercial-cleaning-time-estimator/index.page.server,src\pages\commercial-cleaning-time-estimator\index.page.server.tsx,No,,0,Needs Optimization
/commercial-quote,src\pages\commercial-quote\index.page.tsx,No,,0,Needs Optimization
/commercial-quote/index.page.server,src\pages\commercial-quote\index.page.server.tsx,No,,0,Needs Optimization
/contact,src\pages\contact\+Page.tsx,Yes,"Get in touch with Red Rock Cleaning for professional cleaning services. Contact us today for a free quote.",106,Needs Optimization
/contact,src\pages\Contact.tsx,Yes,"Get in touch with Red Rock Cleaning. Contact information for all our locations including phone numbers and email addresses.",123,OK
/dallas,src\pages\locations\DallasHome.tsx,Yes,"Premium residential and commercial cleaning packages in Dallas. Professional, reliable cleaning services you can trust.",119,Needs Optimization
/dallas-calculator,src\pages\locations\DallasCalculator.tsx,Yes,"Calculate your cleaning service cost instantly. Get an accurate quote for house and commercial cleaning in Dallas.",114,Needs Optimization
/dallas/airbnb-cleaning-services,src\pages\dallas\airbnb-cleaning-services\+Page.tsx,Yes,"Get 5-star reviews with our reliable Airbnb cleaning service in Dallas. Red Rock Cleans offers automated turnover cleaning for vacation rentals in Uptown, Plano, and beyond.",173,Needs Optimization
/dallas/church-cleaning,src\pages\dallas\church-cleaning\+Page.tsx,Yes,"Professional church cleaning services in Dallas. Red Rock Cleans provides respectful, detailed cleaning for places of worship in Plano, Frisco, and across the Dallas area.",171,Needs Optimization
/dallas/data-center-cleaning,src\pages\dallas\data-center-cleaning\+Page.tsx,Yes,"Specialized data center cleaning in Dallas. Red Rock Cleans offers ISO 14644-1 compliant server room, sub-floor, and critical environment cleaning in Plano and Frisco to ensure uptime.",184,Needs Optimization
/dallas/deep-cleaning-services,src\pages\dallas\deep-cleaning-services\+Page.tsx,Yes,"Restore your home's sparkle with our thorough deep cleaning service in Dallas. We tackle built-up grime for a truly refreshed home in Plano, Frisco, and beyond. Get your free quote!",181,Needs Optimization
/dallas/factory-cleaning,src\pages\dallas\factory-cleaning\+Page.tsx,Yes,"Heavy-duty factory cleaning in Dallas. Red Rock Cleans offers comprehensive cleaning for manufacturing plants in Plano, Frisco, and across the Dallas area to ensure safety and productivity.",189,Needs Optimization
/dallas/government-facility-cleaning,src\pages\dallas\government-facility-cleaning\+Page.tsx,Yes,"Secure and compliant government facility cleaning in Dallas. Red Rock Cleans provides discreet, professional cleaning for municipal and federal buildings in Plano and Frisco by security-cleared staff.",200,Needs Optimization
/dallas/gym-cleaning,src\pages\dallas\gym-cleaning\+Page.tsx,Yes,"Professional gym cleaning in Dallas. Red Rock Cleans provides hygienic fitness center and health club sanitation, including equipment disinfection and locker room cleaning in Plano and Frisco.",192,Needs Optimization
/dallas/industrial-cleaning,src\pages\dallas\industrial-cleaning\+Page.tsx,Yes,"Heavy-duty industrial cleaning services in Dallas. Red Rock Cleans provides OSHA compliant cleaning for manufacturing plants, equipment, and industrial facilities to ensure safety and uptime.",191,Needs Optimization
/dallas/medical-office-cleaning,src\pages\dallas\medical-office-cleaning\+Page.tsx,Yes,"Specialized medical office cleaning in Dallas. Red Rock Cleans provides HIPAA and OSHA compliant cleaning for clinics and healthcare facilities in Plano, Frisco, and beyond.",173,Needs Optimization
